District,SubCounty,Parish,Village,SiteID,phase_1,group,games,LatD,LatM,LatS,LongD,LongM,LongS,revised,Latitude,Longitude,PopDate,Pop,HH
Kitgum,Omiya Anyima,Melong,Katoplak,103,1,0,0,3,15,21.2,33,13,50.6,1,3.2559,33.23071667,16-Nov-08,528,94
Kitgum,Omiya Anyima,Melong,Kumele Wicere,104,0,0,0,3,14,24.9,33,15,30.7,1,3.24025,33.25853333,13-Nov-08,512,107
Kitgum,Omiya Anyima,Melong,Lanyap,105,1,1,0,3,14,56.5,33,16,46.3,1,3.249016667,33.27951667,10-Nov-08,590,118
Kitgum,Omiya Anyima,Melong,Ogili,106,1,0,1,3,12,25.7,33,17,23.9,1,3.20715,33.28996667,14-Nov-08,422,95
Kitgum,Omiya Anyima,Palwo,Laraka,107,0,0,1,3,13,57.1,33,13,9.1,,3.232527778,33.21919444,15-Oct-08,548,120
Kitgum,Omiya Anyima,Palwo,Lwala Village,108,0,0,0,3,17,10.1,33,11,28.1,1,3.28615,33.19115,20-Nov-08,467,85
Kitgum,Omiya Anyima,Palwo,Mota Central,109,0,0,1,3,14,1.7,33,13,14.5,1,3.233816667,33.22068333,12-Aug-08,436,85
Kitgum,Omiya Anyima,Palwo,Obwore East,110,1,1,1,3,15,15.4,33,11,56,1,3.254266667,33.19888333,08-Aug-08,511,101
Kitgum,Omiya Anyima,Palwo,Orabonyo,111,1,0,1,3,18,6,33,9,47.2,1,3.301666667,33.16311667,05-Aug-08,421,86
Kitgum,Omiya Anyima,Pela,Barongwe,113,0,0,0,3,17,53.1,33,12,5.2,,3.298083333,33.20144444,13-Nov-08,634,114
Kitgum,Omiya Anyima,Pela,Kweyo,114,0,0,0,3,16,4.4,33,12,38.6,,3.267888889,33.21072222,13-Nov-08,546,144
Kitgum,Omiya Anyima,Pela,Lamodyak,115,0,0,0,3,17,6.7,33,13,47.8,,3.285194444,33.22994444,16-Nov-08,709,135
Kitgum,Omiya Anyima,Pela,Latuturu,116,1,0,1,3,18,54.4,33,11,52,,3.315111111,33.19777778,13-Aug-08,382,73
Kitgum,Omiya Anyima,Pela,Loka-Olet,117,0,0,1,3,19,40.4,33,15,57.6,1,3.3279,33.266,10-Nov-08,432,99
Kitgum,Omiya Anyima,Pela,Puyuda,112,0,0,1,3,18,21.7,33,14,55.1,1,3.306016667,33.24863333,21-Nov-08,421,91
Kitgum,Orom,Akurumo,Labolo,73,1,0,1,3,31,35.5,33,35,0.4,,3.526527778,33.58344444,11-Jun-08,602,97
Kitgum,Orom,Akurumo,Lochim,74,1,1,0,3,15,59.2,33,12,26.5,1,3.26645,33.20735,12-Nov-08,479,67
Kitgum,Orom,Akurumo,Locomo Central,75,1,0,0,3,27,0.1,33,39,8.2,1,3.450033333,33.65226667,14-Nov-08,371,61
Kitgum,Orom,Katwotwo,Bilayolo,76,0,0,0,3,26,42.2,33,33,1.4,1,3.44505,33.55038333,18-Sep-08,390,69
Kitgum,Orom,Katwotwo,Lokungu,77,1,1,1,3,27,55.1,33,33,33,1,3.4653,33.55916667,10-Nov-08,345,69
Kitgum,Orom,Katwotwo,Olaya,78,0,0,0,3,26,18.2,33,32,17.3,1,3.4384,33.53815,09-Nov-08,326,64
Kitgum,Orom,Kiteny,Apimotur,79,1,1,1,3,32,8.1,33,27,53.3,,3.535583333,33.46480556,15-Nov-08,522,100
Kitgum,Orom,Kiteny,Goona,80,1,1,0,3,32,27.1,33,27,56.9,,3.540861111,33.46580556,18-Nov-08,515,93
Kitgum,Orom,Kiteny,Lalekan Central,82,0,0,1,3,29,19.6,33,24,41.3,,3.488777778,33.41147222,07-Jul-08,342,83
Kitgum,Orom,Kiteny,Lokongera,81,1,1,1,3,29,37.6,33,28,40.5,1,3.493766667,33.47791667,11-Nov-08,613,88
Kitgum,Orom,Kiteny,Palobar A,83,0,0,1,3,24,1.7,33,26,8.7,,3.400472222,33.43575,19-Nov-08,377,79
Kitgum,Orom,Kiteny,Tegot Kalabong,84,1,1,0,3,32,26.9,33,27,56.9,,3.540805556,33.46580556,15-Nov-08,347,76
Kitgum,Orom,Lolia,Kona,85,1,1,0,3,23,58.7,33,28,9.5,,3.399638889,33.46930556,17-Nov-08,400,80
Kitgum,Orom,Lolia,Lapeitak,86,1,0,0,3,23,28.1,33,31,45.7,1,3.391133333,33.52936667,16-Nov-08,458,88
Kitgum,Orom,Lolia,Lenga Central,87,1,1,0,3,23,56,33,28,8.1,,3.398888889,33.46891667,14-Nov-08,357,50
Kitgum,Orom,Lolia,Ringilil,88,0,0,0,3,22,18.2,33,31,12.9,1,3.371716667,33.52025,14-Nov-08,583,113
Kitgum,Orom,Lolwa,Ceylon West,120,0,0,1,3,22,3.8,33,24,34.1,,3.367722222,33.40947222,13-Nov-08,204,28
Kitgum,Orom,Lolwa,Kamanding,89,1,0,1,3,21,52.7,33,31,26.3,,3.364638889,33.52397222,13-Nov-08,354,78
Kitgum,Orom,Lolwa,Labwomor,90,1,0,0,3,23,14.9,33,28,5.5,,3.387472222,33.46819444,01-May-08,321,59
Kitgum,Orom,Lolwa,Logerema,91,1,0,0,3,22,14,33,30,45.5,,3.370555556,33.51263889,13-Nov-08,453,94
Kitgum,Orom,Lolwa,Madi Opei,92,1,1,1,3,21,47.3,33,31,20.3,,3.363138889,33.52230556,18-Sep-08,343,62
Kitgum,Orom,Okuti,Akilok Central,93,0,0,0,3,33,15.4,33,29,11.2,,3.554277778,33.48644444,15-Nov-08,556,111
Kitgum,Orom,Okuti,Kolopire,94,0,0,0,3,37,5.9,33,32,21.8,,3.618305556,33.53938889,15-Nov-08,439,75
Kitgum,Orom,Okuti,Lokom Central,95,0,0,1,3,36,38.3,33,32,33.6,,3.610638889,33.54266667,15-Nov-08,425,63
Kitgum,Orom,Okuti,Pudpud,96,0,0,0,3,37,9.9,33,31,56.1,,3.619416667,33.53225,15-Nov-08,516,94
